   Elapsed time	   MLII	     V5
      (seconds)	   (mV)	   (mV)
         10.000	 -0.390	 -0.275
         10.003	 -0.395	 -0.265
         10.006	 -0.390	 -0.285
         10.008	 -0.405	 -0.300
         10.011	 -0.405	 -0.305
         10.014	 -0.400	 -0.285
         10.017	 -0.375	 -0.270
         10.019	 -0.380	 -0.280
         10.022	 -0.390	 -0.275
         10.025	 -0.395	 -0.290
         10.028	 -0.395	 -0.280
         10.031	 -0.390	 -0.290
         10.033	 -0.390	 -0.280
         10.036	 -0.385	 -0.280
         10.039	 -0.405	 -0.285
         10.042	 -0.400	 -0.285
         10.044	 -0.405	 -0.285
         10.047	 -0.395	 -0.295
         10.050	 -0.390	 -0.275
         10.053	 -0.395	 -0.280
         10.056	 -0.390	 -0.290
         10.058	 -0.400	 -0.295
         10.061	 -0.405	 -0.295
         10.064	 -0.405	 -0.285
         10.067	 -0.390	 -0.275
         10.069	 -0.390	 -0.295
         10.072	 -0.395	 -0.305
         10.075	 -0.400	 -0.305
         10.078	 -0.400	 -0.320
         10.081	 -0.395	 -0.305
         10.083	 -0.380	 -0.295
         10.086	 -0.370	 -0.300
         10.089	 -0.380	 -0.300
         10.092	 -0.385	 -0.320
         10.094	 -0.395	 -0.320
         10.097	 -0.390	 -0.310
         10.100	 -0.380	 -0.305
         10.103	 -0.380	 -0.315
         10.106	 -0.385	 -0.330
         10.108	 -0.390	 -0.345
         10.111	 -0.390	 -0.355
         10.114	 -0.400	 -0.340
         10.117	 -0.400	 -0.335
         10.119	 -0.405	 -0.350
         10.122	 -0.415	 -0.370
         10.125	 -0.420	 -0.380
         10.128	 -0.430	 -0.380
         10.131	 -0.430	 -0.375
         10.133	 -0.425	 -0.385
         10.136	 -0.420	 -0.405
         10.139	 -0.430	 -0.405
         10.142	 -0.445	 -0.420
         10.144	 -0.465	 -0.430
         10.147	 -0.455	 -0.415
         10.150	 -0.440	 -0.410
         10.153	 -0.425	 -0.415
         10.156	 -0.435	 -0.425
         10.158	 -0.450	 -0.425
         10.161	 -0.440	 -0.425
         10.164	 -0.445	 -0.405
         10.167	 -0.425	 -0.385
         10.169	 -0.425	 -0.390
         10.172	 -0.425	 -0.385
         10.175	 -0.430	 -0.385
         10.178	 -0.430	 -0.380
         10.181	 -0.415	 -0.350
         10.183	 -0.415	 -0.320
         10.186	 -0.385	 -0.315
         10.189	 -0.375	 -0.315
         10.192	 -0.385	 -0.305
         10.194	 -0.370	 -0.305
         10.197	 -0.360	 -0.270
         10.200	 -0.350	 -0.250
         10.203	 -0.335	 -0.235
         10.206	 -0.335	 -0.235
